tabnak_87522	tabnak_87405	0
tabnak_87522	fardanews_104296	0
tabnak_87522	fardanews_104298	0
tabnak_87522	tabnak_87430	0
tabnak_87522	tabnak_87427	0
tabnak_87522	fardanews_104310	0
tabnak_87522	fardanews_104312	0
tabnak_87522	fardanews_104327	0
tabnak_87522	tabnak_87481	0
tabnak_87522	fardanews_104350	0
tabnak_87522	fardanews_104355	0
tabnak_87522	fardanews_104359	0
tabnak_87522	fardanews_104364	0
tabnak_87522	fardanews_104374	0
tabnak_87522	fardanews_104378	0
tabnak_87522	tabnak_87502	0
tabnak_87522	fardanews_104380	0
tabnak_87545	tabnak_87270	0
tabnak_87545	fardanews_104223	0
tabnak_87545	tabnak_87281	0
tabnak_87545	tabnak_87332	0
tabnak_87545	fardanews_104271	0
tabnak_87545	tabnak_87369	0
tabnak_87545	tabnak_87379	0
tabnak_87545	tabnak_87398	0
tabnak_87545	tabnak_87405	0
tabnak_87545	fardanews_104296	0
tabnak_87545	fardanews_104298	0
tabnak_87545	tabnak_87430	0
tabnak_87545	tabnak_87427	0
tabnak_87545	fardanews_104310	0
tabnak_87545	fardanews_104312	0
tabnak_87545	fardanews_104327	0
tabnak_87545	tabnak_87481	0
tabnak_87545	fardanews_104350	0
tabnak_87545	fardanews_104355	0
tabnak_87545	fardanews_104359	0
tabnak_87545	fardanews_104364	0
tabnak_87545	fardanews_104374	0
tabnak_87545	fardanews_104378	0
tabnak_87545	tabnak_87502	0
tabnak_87545	fardanews_104380	0
tabnak_87545	tabnak_87522	0
fardanews_104433	tabnak_87270	0
fardanews_104433	fardanews_104223	0
fardanews_104433	tabnak_87281	0
fardanews_104433	tabnak_87332	0
fardanews_104433	fardanews_104271	0
fardanews_104433	tabnak_87369	0
fardanews_104433	tabnak_87379	0
fardanews_104433	tabnak_87398	0
fardanews_104433	tabnak_87405	0
fardanews_104433	fardanews_104296	0
fardanews_104433	fardanews_104298	0
fardanews_104433	tabnak_87430	0
fardanews_104433	tabnak_87427	0
fardanews_104433	fardanews_104310	0
fardanews_104433	fardanews_104312	0
fardanews_104433	fardanews_104327	0
fardanews_104433	tabnak_87481	0
fardanews_104433	fardanews_104350	0
fardanews_104433	fardanews_104355	0
fardanews_104433	fardanews_104359	0
fardanews_104433	fardanews_104364	0
fardanews_104433	fardanews_104374	0
fardanews_104433	fardanews_104378	0
fardanews_104433	tabnak_87502	0
fardanews_104433	fardanews_104380	0
fardanews_104433	tabnak_87522	0
fardanews_104433	tabnak_87545	0
fardanews_104436	tabnak_87270	0
fardanews_104436	fardanews_104223	0
fardanews_104436	tabnak_87281	0
fardanews_104436	tabnak_87332	0
fardanews_104436	fardanews_104271	0
fardanews_104436	tabnak_87369	0
fardanews_104436	tabnak_87379	0
fardanews_104436	tabnak_87398	0
fardanews_104436	tabnak_87405	0
fardanews_104436	fardanews_104296	0
fardanews_104436	fardanews_104298	0
fardanews_104436	tabnak_87430	0
fardanews_104436	tabnak_87427	0
fardanews_104436	fardanews_104310	0
fardanews_104436	fardanews_104312	0
fardanews_104436	fardanews_104327	0
fardanews_104436	tabnak_87481	0
fardanews_104436	fardanews_104350	0
fardanews_104436	fardanews_104355	0
fardanews_104436	fardanews_104359	0
fardanews_104436	fardanews_104364	0
fardanews_104436	fardanews_104374	0
fardanews_104436	fardanews_104378	0
fardanews_104436	tabnak_87502	0
fardanews_104436	fardanews_104380	0
fardanews_104436	tabnak_87522	0
fardanews_104436	tabnak_87545	0
fardanews_104436	fardanews_104433	0
tabnak_87574	tabnak_87270	35.3193
tabnak_87574	fardanews_104223	38.5662
tabnak_87574	tabnak_87281	43.9109
tabnak_87574	tabnak_87332	38.3582
tabnak_87574	fardanews_104271	_nan
tabnak_87574	tabnak_87369	_nan
tabnak_87574	tabnak_87379	42.3119
tabnak_87574	tabnak_87398	38.5193
tabnak_87574	tabnak_87405	54.6243
tabnak_87574	fardanews_104296	51.4983
tabnak_87574	fardanews_104298	_nan
tabnak_87574	tabnak_87430	_nan
tabnak_87574	tabnak_87427	47.2048
tabnak_87574	fardanews_104310	_nan
tabnak_87574	fardanews_104312	44.1465
tabnak_87574	fardanews_104327	_nan
tabnak_87574	tabnak_87481	47.4584
tabnak_87574	fardanews_104350	53.2901
tabnak_87574	fardanews_104355	_nan
tabnak_87574	fardanews_104359	_nan
tabnak_87574	fardanews_104364	_nan
tabnak_87574	fardanews_104374	_nan
tabnak_87574	fardanews_104378	_nan
tabnak_87574	tabnak_87502	45.9049
tabnak_87574	fardanews_104380	_nan
tabnak_87574	tabnak_87522	_nan
tabnak_87574	tabnak_87545	_nan
tabnak_87574	fardanews_104433	_nan
tabnak_87574	fardanews_104436	_nan
tabnak_87579	tabnak_87270	36.3091
tabnak_87579	fardanews_104223	38.4497
tabnak_87579	tabnak_87281	50.5104
tabnak_87579	tabnak_87332	42.5167
tabnak_87579	fardanews_104271	_nan
tabnak_87579	tabnak_87369	_nan
tabnak_87579	tabnak_87379	48.6384
tabnak_87579	tabnak_87398	43.8796
tabnak_87579	tabnak_87405	51.2136
tabnak_87579	fardanews_104296	54.6409
tabnak_87579	fardanews_104298	_nan
tabnak_87579	tabnak_87430	_nan
tabnak_87579	tabnak_87427	47.3155
tabnak_87579	fardanews_104310	_nan
tabnak_87579	fardanews_104312	51.4903
tabnak_87579	fardanews_104327	_nan
tabnak_87579	tabnak_87481	50.1208
tabnak_87579	fardanews_104350	55.1005
tabnak_87579	fardanews_104355	_nan
tabnak_87579	fardanews_104359	_nan
tabnak_87579	fardanews_104364	_nan
tabnak_87579	fardanews_104374	_nan
tabnak_87579	fardanews_104378	_nan
tabnak_87579	tabnak_87502	49.8362
tabnak_87579	fardanews_104380	_nan
tabnak_87579	tabnak_87522	_nan
tabnak_87579	tabnak_87545	_nan
tabnak_87579	fardanews_104433	_nan
tabnak_87579	fardanews_104436	_nan
tabnak_87579	tabnak_87574	53.7588
fardanews_104455	tabnak_87270	0
fardanews_104455	fardanews_104223	0
fardanews_104455	tabnak_87281	0
fardanews_104455	tabnak_87332	0
fardanews_104455	fardanews_104271	0
fardanews_104455	tabnak_87369	0
fardanews_104455	tabnak_87379	0
