theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa,,cost,0.014883721
0.416,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.417,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.418,27,7,16,54,0.372093023,0.114754098,,0.018687762,
0.419,26,7,17,54,0.395348837,0.114754098,,0.019152878,
0.42,26,7,17,54,0.395348837,0.114754098,,0.019152878,
0.421,26,7,17,54,0.395348837,0.114754098,,0.019152878,
0.422,26,7,17,54,0.395348837,0.114754098,,0.019152878,
0.423,26,7,17,54,0.395348837,0.114754098,,0.019152878,
0.424,26,7,17,54,0.395348837,0.114754098,,0.019152878,
0.425,25,7,18,54,0.418604651,0.114754098,,0.019617995,
0.426,24,7,19,54,0.441860465,0.114754098,,0.020083111,
0.427,24,7,19,54,0.441860465,0.114754098,,0.020083111,
0.428,24,7,19,54,0.441860465,0.114754098,,0.020083111,
0.429,24,7,19,54,0.441860465,0.114754098,,0.020083111,
0.43,24,7,19,54,0.441860465,0.114754098,,0.020083111,
0.431,23,7,20,54,0.465116279,0.114754098,,0.020548227,
0.432,23,7,20,54,0.465116279,0.114754098,,0.020548227,
0.433,23,7,20,54,0.465116279,0.114754098,,0.020548227,
0.434,23,7,20,54,0.465116279,0.114754098,,0.020548227,
0.435,23,7,20,54,0.465116279,0.114754098,,0.020548227,
0.436,23,7,20,54,0.465116279,0.114754098,,0.020548227,
0.437,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.438,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.439,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.44,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.441,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.442,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.443,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.444,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.445,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.446,22,7,21,54,0.488372093,0.114754098,,0.021013343,
0.447,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.448,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.449,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.45,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.451,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.452,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.453,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.454,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.455,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.456,22,6,21,55,0.488372093,0.098360656,,0.019406786,
0.457,22,6,21,55,0.488372093,0.098360656,,0.019406786,
