theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.385,42,17,1,44,0.023255813953488372,0.2786885245901639
0.386,42,17,1,44,0.023255813953488372,0.2786885245901639
0.387,42,17,1,44,0.023255813953488372,0.2786885245901639
0.388,42,17,1,44,0.023255813953488372,0.2786885245901639
0.389,42,17,1,44,0.023255813953488372,0.2786885245901639
0.39,42,17,1,44,0.023255813953488372,0.2786885245901639
0.391,42,17,1,44,0.023255813953488372,0.2786885245901639
0.392,42,17,1,44,0.023255813953488372,0.2786885245901639
0.393,42,17,1,44,0.023255813953488372,0.2786885245901639
0.394,42,17,1,44,0.023255813953488372,0.2786885245901639
0.395,42,17,1,44,0.023255813953488372,0.2786885245901639
0.396,42,16,1,45,0.023255813953488372,0.26229508196721313
0.397,41,16,2,45,0.046511627906976744,0.26229508196721313
0.398,41,16,2,45,0.046511627906976744,0.26229508196721313
0.399,41,16,2,45,0.046511627906976744,0.26229508196721313
0.4,41,16,2,45,0.046511627906976744,0.26229508196721313
0.401,41,16,2,45,0.046511627906976744,0.26229508196721313
0.402,41,16,2,45,0.046511627906976744,0.26229508196721313
0.403,41,16,2,45,0.046511627906976744,0.26229508196721313
0.404,41,16,2,45,0.046511627906976744,0.26229508196721313
0.405,41,16,2,45,0.046511627906976744,0.26229508196721313
0.406,41,16,2,45,0.046511627906976744,0.26229508196721313
0.407,41,16,2,45,0.046511627906976744,0.26229508196721313
0.408,41,16,2,45,0.046511627906976744,0.26229508196721313
0.409,41,15,2,46,0.046511627906976744,0.2459016393442623
0.41,41,15,2,46,0.046511627906976744,0.2459016393442623
0.411,41,15,2,46,0.046511627906976744,0.2459016393442623
0.412,41,15,2,46,0.046511627906976744,0.2459016393442623
0.413,41,15,2,46,0.046511627906976744,0.2459016393442623
0.414,41,15,2,46,0.046511627906976744,0.2459016393442623
0.415,41,15,2,46,0.046511627906976744,0.2459016393442623
0.416,41,15,2,46,0.046511627906976744,0.2459016393442623
0.417,41,15,2,46,0.046511627906976744,0.2459016393442623
0.418,40,15,3,46,0.06976744186046512,0.2459016393442623
0.419,40,15,3,46,0.06976744186046512,0.2459016393442623
0.42,40,14,3,47,0.06976744186046512,0.22950819672131148
0.421,40,14,3,47,0.06976744186046512,0.22950819672131148
0.422,40,14,3,47,0.06976744186046512,0.22950819672131148
0.423,40,14,3,47,0.06976744186046512,0.22950819672131148
0.424,40,14,3,47,0.06976744186046512,0.22950819672131148
0.425,40,14,3,47,0.06976744186046512,0.22950819672131148
0.426,40,14,3,47,0.06976744186046512,0.22950819672131148
0.427,40,14,3,47,0.06976744186046512,0.22950819672131148
0.428,40,14,3,47,0.06976744186046512,0.22950819672131148
0.429,40,14,3,47,0.06976744186046512,0.22950819672131148
0.43,40,14,3,47,0.06976744186046512,0.22950819672131148
0.431,40,14,3,47,0.06976744186046512,0.22950819672131148
0.432,40,14,3,47,0.06976744186046512,0.22950819672131148
0.433,40,14,3,47,0.06976744186046512,0.22950819672131148
0.434,40,14,3,47,0.06976744186046512,0.22950819672131148
0.435,40,14,3,47,0.06976744186046512,0.22950819672131148
0.436,39,14,4,47,0.09302325581395349,0.22950819672131148
0.437,39,14,4,47,0.09302325581395349,0.22950819672131148
0.438,39,14,4,47,0.09302325581395349,0.22950819672131148
0.439,39,14,4,47,0.09302325581395349,0.22950819672131148
0.44,39,13,4,48,0.09302325581395349,0.21311475409836064
0.441,39,13,4,48,0.09302325581395349,0.21311475409836064
0.442,39,13,4,48,0.09302325581395349,0.21311475409836064
0.443,39,13,4,48,0.09302325581395349,0.21311475409836064
0.444,39,13,4,48,0.09302325581395349,0.21311475409836064
0.445,39,13,4,48,0.09302325581395349,0.21311475409836064
0.446,39,13,4,48,0.09302325581395349,0.21311475409836064
0.447,39,13,4,48,0.09302325581395349,0.21311475409836064
0.448,39,13,4,48,0.09302325581395349,0.21311475409836064
0.449,39,13,4,48,0.09302325581395349,0.21311475409836064
0.45,39,13,4,48,0.09302325581395349,0.21311475409836064
0.451,39,13,4,48,0.09302325581395349,0.21311475409836064
0.452,39,13,4,48,0.09302325581395349,0.21311475409836064
0.453,39,13,4,48,0.09302325581395349,0.21311475409836064
0.454,39,13,4,48,0.09302325581395349,0.21311475409836064
0.455,39,13,4,48,0.09302325581395349,0.21311475409836064
0.456,39,13,4,48,0.09302325581395349,0.21311475409836064
0.457,39,13,4,48,0.09302325581395349,0.21311475409836064
0.458,39,13,4,48,0.09302325581395349,0.21311475409836064
0.459,39,13,4,48,0.09302325581395349,0.21311475409836064
0.46,39,13,4,48,0.09302325581395349,0.21311475409836064
0.461,39,13,4,48,0.09302325581395349,0.21311475409836064
0.462,39,13,4,48,0.09302325581395349,0.21311475409836064
0.463,39,13,4,48,0.09302325581395349,0.21311475409836064
0.464,39,13,4,48,0.09302325581395349,0.21311475409836064
0.465,39,13,4,48,0.09302325581395349,0.21311475409836064
0.466,39,13,4,48,0.09302325581395349,0.21311475409836064
0.467,39,13,4,48,0.09302325581395349,0.21311475409836064
0.468,39,13,4,48,0.09302325581395349,0.21311475409836064
0.469,39,13,4,48,0.09302325581395349,0.21311475409836064
0.47,39,13,4,48,0.09302325581395349,0.21311475409836064
0.471,39,13,4,48,0.09302325581395349,0.21311475409836064
0.472,39,13,4,48,0.09302325581395349,0.21311475409836064
0.473,39,13,4,48,0.09302325581395349,0.21311475409836064
0.474,39,13,4,48,0.09302325581395349,0.21311475409836064
0.475,39,13,4,48,0.09302325581395349,0.21311475409836064
0.476,39,13,4,48,0.09302325581395349,0.21311475409836064
0.477,39,13,4,48,0.09302325581395349,0.21311475409836064
0.478,39,12,4,49,0.09302325581395349,0.19672131147540983
0.479,39,12,4,49,0.09302325581395349,0.19672131147540983
0.48,39,12,4,49,0.09302325581395349,0.19672131147540983
0.481,39,12,4,49,0.09302325581395349,0.19672131147540983
0.482,39,12,4,49,0.09302325581395349,0.19672131147540983
0.483,39,12,4,49,0.09302325581395349,0.19672131147540983
0.484,39,12,4,49,0.09302325581395349,0.19672131147540983
0.485,39,12,4,49,0.09302325581395349,0.19672131147540983
0.486,39,12,4,49,0.09302325581395349,0.19672131147540983
0.487,39,12,4,49,0.09302325581395349,0.19672131147540983
0.488,39,12,4,49,0.09302325581395349,0.19672131147540983
0.489,39,12,4,49,0.09302325581395349,0.19672131147540983
0.49,39,12,4,49,0.09302325581395349,0.19672131147540983
0.491,39,12,4,49,0.09302325581395349,0.19672131147540983
0.492,39,12,4,49,0.09302325581395349,0.19672131147540983
0.493,39,12,4,49,0.09302325581395349,0.19672131147540983
0.494,39,12,4,49,0.09302325581395349,0.19672131147540983
0.495,39,12,4,49,0.09302325581395349,0.19672131147540983
0.496,38,12,5,49,0.11627906976744186,0.19672131147540983
0.497,38,12,5,49,0.11627906976744186,0.19672131147540983
0.498,38,12,5,49,0.11627906976744186,0.19672131147540983
0.499,38,12,5,49,0.11627906976744186,0.19672131147540983
0.5,38,12,5,49,0.11627906976744186,0.19672131147540983
0.501,38,12,5,49,0.11627906976744186,0.19672131147540983
0.502,38,12,5,49,0.11627906976744186,0.19672131147540983
0.503,38,12,5,49,0.11627906976744186,0.19672131147540983
0.504,38,12,5,49,0.11627906976744186,0.19672131147540983
0.505,37,12,6,49,0.13953488372093023,0.19672131147540983
0.506,37,12,6,49,0.13953488372093023,0.19672131147540983
0.507,37,12,6,49,0.13953488372093023,0.19672131147540983
0.508,37,12,6,49,0.13953488372093023,0.19672131147540983
0.509,37,12,6,49,0.13953488372093023,0.19672131147540983
0.51,37,12,6,49,0.13953488372093023,0.19672131147540983
0.511,37,12,6,49,0.13953488372093023,0.19672131147540983
0.512,37,12,6,49,0.13953488372093023,0.19672131147540983
0.513,37,12,6,49,0.13953488372093023,0.19672131147540983
0.514,37,12,6,49,0.13953488372093023,0.19672131147540983
0.515,37,12,6,49,0.13953488372093023,0.19672131147540983
0.516,37,12,6,49,0.13953488372093023,0.19672131147540983
0.517,37,12,6,49,0.13953488372093023,0.19672131147540983
0.518,37,12,6,49,0.13953488372093023,0.19672131147540983
0.519,37,12,6,49,0.13953488372093023,0.19672131147540983
0.52,37,11,6,50,0.13953488372093023,0.18032786885245902
0.521,37,11,6,50,0.13953488372093023,0.18032786885245902
