theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.425,32,22,2,48,0.058823529,0.314285714
0.426,32,22,2,48,0.058823529,0.314285714
0.427,32,22,2,48,0.058823529,0.314285714
0.428,32,22,2,48,0.058823529,0.314285714
0.429,32,22,2,48,0.058823529,0.314285714
0.43,32,22,2,48,0.058823529,0.314285714
0.431,32,22,2,48,0.058823529,0.314285714
0.432,32,22,2,48,0.058823529,0.314285714
0.433,32,22,2,48,0.058823529,0.314285714
0.434,32,22,2,48,0.058823529,0.314285714
0.435,32,22,2,48,0.058823529,0.314285714
0.436,31,22,3,48,0.088235294,0.314285714
0.437,31,22,3,48,0.088235294,0.314285714
0.438,31,22,3,48,0.088235294,0.314285714
0.439,31,22,3,48,0.088235294,0.314285714
0.44,31,21,3,49,0.088235294,0.3
0.441,31,21,3,49,0.088235294,0.3
0.442,31,21,3,49,0.088235294,0.3
0.443,31,21,3,49,0.088235294,0.3
0.444,31,21,3,49,0.088235294,0.3
0.445,31,21,3,49,0.088235294,0.3
0.446,31,21,3,49,0.088235294,0.3
0.447,31,21,3,49,0.088235294,0.3
0.448,31,21,3,49,0.088235294,0.3
0.449,31,21,3,49,0.088235294,0.3
0.45,31,21,3,49,0.088235294,0.3
0.451,31,21,3,49,0.088235294,0.3
0.452,31,21,3,49,0.088235294,0.3
0.453,31,21,3,49,0.088235294,0.3
0.454,31,21,3,49,0.088235294,0.3
0.455,31,21,3,49,0.088235294,0.3
0.456,31,21,3,49,0.088235294,0.3
0.457,31,21,3,49,0.088235294,0.3
0.458,31,21,3,49,0.088235294,0.3
0.459,31,21,3,49,0.088235294,0.3
0.46,31,21,3,49,0.088235294,0.3
0.461,31,21,3,49,0.088235294,0.3
0.462,31,21,3,49,0.088235294,0.3
0.463,31,21,3,49,0.088235294,0.3
0.464,31,21,3,49,0.088235294,0.3
0.465,31,21,3,49,0.088235294,0.3
0.466,31,21,3,49,0.088235294,0.3
0.467,31,21,3,49,0.088235294,0.3
0.468,31,21,3,49,0.088235294,0.3
0.469,31,21,3,49,0.088235294,0.3
0.47,31,21,3,49,0.088235294,0.3
0.471,31,21,3,49,0.088235294,0.3
0.472,31,21,3,49,0.088235294,0.3
0.473,31,21,3,49,0.088235294,0.3
0.474,31,21,3,49,0.088235294,0.3
0.475,31,21,3,49,0.088235294,0.3
0.476,31,21,3,49,0.088235294,0.3
0.477,31,21,3,49,0.088235294,0.3
0.478,31,20,3,50,0.088235294,0.285714286
0.479,31,20,3,50,0.088235294,0.285714286
0.48,31,20,3,50,0.088235294,0.285714286
0.481,31,20,3,50,0.088235294,0.285714286
0.482,31,20,3,50,0.088235294,0.285714286
0.483,31,20,3,50,0.088235294,0.285714286
0.484,31,20,3,50,0.088235294,0.285714286
0.485,31,20,3,50,0.088235294,0.285714286
0.486,31,20,3,50,0.088235294,0.285714286
0.487,31,20,3,50,0.088235294,0.285714286
0.488,31,20,3,50,0.088235294,0.285714286
0.489,31,20,3,50,0.088235294,0.285714286
0.49,31,20,3,50,0.088235294,0.285714286
0.491,31,20,3,50,0.088235294,0.285714286
0.492,31,20,3,50,0.088235294,0.285714286
0.493,31,20,3,50,0.088235294,0.285714286
0.494,31,20,3,50,0.088235294,0.285714286
0.495,31,20,3,50,0.088235294,0.285714286
0.496,30,20,4,50,0.117647059,0.285714286
0.497,30,20,4,50,0.117647059,0.285714286
0.498,30,20,4,50,0.117647059,0.285714286
0.499,30,20,4,50,0.117647059,0.285714286
0.5,30,20,4,50,0.117647059,0.285714286
0.501,30,20,4,50,0.117647059,0.285714286
0.502,30,20,4,50,0.117647059,0.285714286
0.503,30,20,4,50,0.117647059,0.285714286
0.504,30,20,4,50,0.117647059,0.285714286
0.505,30,19,4,51,0.117647059,0.271428571
0.506,30,19,4,51,0.117647059,0.271428571
0.507,30,19,4,51,0.117647059,0.271428571
0.508,30,19,4,51,0.117647059,0.271428571
0.509,30,19,4,51,0.117647059,0.271428571
0.51,30,19,4,51,0.117647059,0.271428571
0.511,30,19,4,51,0.117647059,0.271428571
0.512,30,19,4,51,0.117647059,0.271428571
0.513,30,19,4,51,0.117647059,0.271428571
0.514,30,19,4,51,0.117647059,0.271428571
0.515,30,19,4,51,0.117647059,0.271428571
0.516,30,19,4,51,0.117647059,0.271428571
0.517,30,19,4,51,0.117647059,0.271428571
0.518,30,19,4,51,0.117647059,0.271428571
0.519,30,19,4,51,0.117647059,0.271428571
0.52,30,18,4,52,0.117647059,0.257142857
0.521,30,18,4,52,0.117647059,0.257142857
0.522,30,18,4,52,0.117647059,0.257142857
0.523,30,18,4,52,0.117647059,0.257142857
0.524,30,18,4,52,0.117647059,0.257142857
