tabnak-87522	tabnak-87405	0
tabnak-87522	fardanews-104296	0
tabnak-87522	fardanews-104298	0
tabnak-87522	tabnak-87430	0
tabnak-87522	tabnak-87427	0
tabnak-87522	fardanews-104310	0
tabnak-87522	fardanews-104312	0
tabnak-87522	fardanews-104327	0
tabnak-87522	tabnak-87481	0
tabnak-87522	fardanews-104350	0
tabnak-87522	fardanews-104355	0
tabnak-87522	fardanews-104359	0
tabnak-87522	fardanews-104364	0
tabnak-87522	fardanews-104374	0
tabnak-87522	fardanews-104378	0
tabnak-87522	tabnak-87502	0
tabnak-87522	fardanews-104380	0
tabnak-87545	tabnak-87270	0
tabnak-87545	fardanews-104223	0
tabnak-87545	tabnak-87281	0
tabnak-87545	tabnak-87332	0
tabnak-87545	fardanews-104271	0
tabnak-87545	tabnak-87369	0
tabnak-87545	tabnak-87379	0
tabnak-87545	tabnak-87398	0
tabnak-87545	tabnak-87405	0
tabnak-87545	fardanews-104296	0
tabnak-87545	fardanews-104298	0
tabnak-87545	tabnak-87430	0
tabnak-87545	tabnak-87427	0
tabnak-87545	fardanews-104310	0
tabnak-87545	fardanews-104312	0
tabnak-87545	fardanews-104327	0
tabnak-87545	tabnak-87481	0
tabnak-87545	fardanews-104350	0
tabnak-87545	fardanews-104355	0
tabnak-87545	fardanews-104359	0
tabnak-87545	fardanews-104364	0
tabnak-87545	fardanews-104374	0
tabnak-87545	fardanews-104378	0
tabnak-87545	tabnak-87502	0
tabnak-87545	fardanews-104380	0
tabnak-87545	tabnak-87522	0
fardanews-104433	tabnak-87270	0
fardanews-104433	fardanews-104223	0
fardanews-104433	tabnak-87281	0
fardanews-104433	tabnak-87332	0
fardanews-104433	fardanews-104271	0
fardanews-104433	tabnak-87369	0
fardanews-104433	tabnak-87379	0
fardanews-104433	tabnak-87398	0
fardanews-104433	tabnak-87405	0
fardanews-104433	fardanews-104296	0
fardanews-104433	fardanews-104298	0
fardanews-104433	tabnak-87430	0
fardanews-104433	tabnak-87427	0
fardanews-104433	fardanews-104310	0
fardanews-104433	fardanews-104312	0
fardanews-104433	fardanews-104327	0
fardanews-104433	tabnak-87481	0
fardanews-104433	fardanews-104350	0
fardanews-104433	fardanews-104355	0
fardanews-104433	fardanews-104359	0
fardanews-104433	fardanews-104364	0
fardanews-104433	fardanews-104374	0
fardanews-104433	fardanews-104378	0
fardanews-104433	tabnak-87502	0
fardanews-104433	fardanews-104380	0
fardanews-104433	tabnak-87522	0
fardanews-104433	tabnak-87545	0
fardanews-104436	tabnak-87270	0
fardanews-104436	fardanews-104223	0
fardanews-104436	tabnak-87281	0
fardanews-104436	tabnak-87332	0
fardanews-104436	fardanews-104271	0
fardanews-104436	tabnak-87369	0
fardanews-104436	tabnak-87379	0
fardanews-104436	tabnak-87398	0
fardanews-104436	tabnak-87405	0
fardanews-104436	fardanews-104296	0
fardanews-104436	fardanews-104298	0
fardanews-104436	tabnak-87430	0
fardanews-104436	tabnak-87427	0
fardanews-104436	fardanews-104310	0
fardanews-104436	fardanews-104312	0
fardanews-104436	fardanews-104327	0
fardanews-104436	tabnak-87481	0
fardanews-104436	fardanews-104350	0
fardanews-104436	fardanews-104355	0
fardanews-104436	fardanews-104359	0
fardanews-104436	fardanews-104364	0
fardanews-104436	fardanews-104374	0
fardanews-104436	fardanews-104378	0
fardanews-104436	tabnak-87502	0
fardanews-104436	fardanews-104380	0
fardanews-104436	tabnak-87522	0
fardanews-104436	tabnak-87545	0
fardanews-104436	fardanews-104433	0
tabnak-87574	tabnak-87270	35.3193
tabnak-87574	fardanews-104223	38.5662
tabnak-87574	tabnak-87281	43.9109
tabnak-87574	tabnak-87332	38.3582
tabnak-87574	fardanews-104271	-nan
tabnak-87574	tabnak-87369	-nan
tabnak-87574	tabnak-87379	42.3119
tabnak-87574	tabnak-87398	38.5193
tabnak-87574	tabnak-87405	54.6243
tabnak-87574	fardanews-104296	51.4983
tabnak-87574	fardanews-104298	-nan
tabnak-87574	tabnak-87430	-nan
tabnak-87574	tabnak-87427	47.2048
tabnak-87574	fardanews-104310	-nan
tabnak-87574	fardanews-104312	44.1465
tabnak-87574	fardanews-104327	-nan
tabnak-87574	tabnak-87481	47.4584
tabnak-87574	fardanews-104350	53.2901
tabnak-87574	fardanews-104355	-nan
tabnak-87574	fardanews-104359	-nan
tabnak-87574	fardanews-104364	-nan
tabnak-87574	fardanews-104374	-nan
tabnak-87574	fardanews-104378	-nan
tabnak-87574	tabnak-87502	45.9049
tabnak-87574	fardanews-104380	-nan
tabnak-87574	tabnak-87522	-nan
tabnak-87574	tabnak-87545	-nan
tabnak-87574	fardanews-104433	-nan
tabnak-87574	fardanews-104436	-nan
tabnak-87579	tabnak-87270	36.3091
tabnak-87579	fardanews-104223	38.4497
tabnak-87579	tabnak-87281	50.5104
tabnak-87579	tabnak-87332	42.5167
tabnak-87579	fardanews-104271	-nan
tabnak-87579	tabnak-87369	-nan
tabnak-87579	tabnak-87379	48.6384
tabnak-87579	tabnak-87398	43.8796
tabnak-87579	tabnak-87405	51.2136
tabnak-87579	fardanews-104296	54.6409
tabnak-87579	fardanews-104298	-nan
tabnak-87579	tabnak-87430	-nan
tabnak-87579	tabnak-87427	47.3155
tabnak-87579	fardanews-104310	-nan
tabnak-87579	fardanews-104312	51.4903
tabnak-87579	fardanews-104327	-nan
tabnak-87579	tabnak-87481	50.1208
tabnak-87579	fardanews-104350	55.1005
tabnak-87579	fardanews-104355	-nan
tabnak-87579	fardanews-104359	-nan
tabnak-87579	fardanews-104364	-nan
tabnak-87579	fardanews-104374	-nan
tabnak-87579	fardanews-104378	-nan
tabnak-87579	tabnak-87502	49.8362
tabnak-87579	fardanews-104380	-nan
tabnak-87579	tabnak-87522	-nan
tabnak-87579	tabnak-87545	-nan
tabnak-87579	fardanews-104433	-nan
tabnak-87579	fardanews-104436	-nan
tabnak-87579	tabnak-87574	53.7588
fardanews-104455	tabnak-87270	0
fardanews-104455	fardanews-104223	0
fardanews-104455	tabnak-87281	0
fardanews-104455	tabnak-87332	0
fardanews-104455	fardanews-104271	0
fardanews-104455	tabnak-87369	0
fardanews-104455	tabnak-87379	0
